Country,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
Grenada,0.0803,0.1139,0.0357,0.0487,0.0941,0.0391,0.0542,0.0234,0.0851,0.1078,0.0542,0.0721,0.0741,0.0556,0.0378,0.024
Guatemala,0.0753,0.1463,0.0389,0.0664,0.0815,0.0513,0.0476,0.0254,0.0688,0.1339,0.0439,0.0762,0.0541,0.0364,0.0335,0.0207
Guinea,0.0846,0.1191,0.0193,0.0301,0.1106,0.0755,0.0392,0.0301,0.0862,0.1197,0.0358,0.0415,0.0891,0.0704,0.0295,0.0193
Guyana,0.0691,0.1,0.0261,0.0449,0.0825,0.0489,0.0359,0.0316,0.0776,0.1432,0.0443,0.0757,0.0796,0.0571,0.0522,0.0313
Haiti,0.0724,0.1353,0.0453,0.0577,0.1048,0.0612,0.0506,0.0318,0.0748,0.1154,0.027,0.0341,0.0801,0.0489,0.0429,0.0176
Honduras,0.0797,0.1307,0.0392,0.0638,0.0831,0.0529,0.044,0.0309,0.0693,0.1417,0.0465,0.0736,0.0519,0.0417,0.0304,0.021
Hungary,0.0643,0.1215,0.0422,0.0677,0.0541,0.0316,0.0446,0.0249,0.0838,0.1569,0.0647,0.0978,0.0489,0.0332,0.0404,0.0233
Iceland,0.0706,0.1698,0.0256,0.0555,0.0655,0.0437,0.0245,0.0192,0.0787,0.191,0.0334,0.0697,0.0582,0.0486,0.0259,0.0202
India,0.0761,0.1355,0.033,0.0544,0.0953,0.068,0.0484,0.0313,0.0635,0.1344,0.0348,0.0647,0.0538,0.0543,0.0281,0.0243
Indonesia,0.0677,0.1227,0.0303,0.0435,0.1011,0.0837,0.0507,0.0337,0.0758,0.1249,0.0384,0.0499,0.0652,0.0575,0.0323,0.0226
Iraq,0.0722,0.0941,0.0523,0.0615,0.0642,0.0411,0.0594,0.0358,0.0716,0.1088,0.0712,0.1053,0.0454,0.042,0.0427,0.0324
