연도,구,행정동,총인구,남자,여자
2023,상록구,이동,22805,12336,10469
2023,상록구,일동,23444,11959,11485
2023,상록구,해양동,40391,20246,20145
2024,단원구,고잔동,19918,9923,9995
2024,단원구,대부동,9168,4720,4448
2024,단원구,백운동,24061,12073,11988
2024,단원구,선부1동,16820,8578,8242
2024,단원구,선부2동,17258,9190,8068
2024,단원구,선부3동,32358,16618,15740
2024,단원구,신길동,20787,11182,9605
2024,단원구,와동,35711,19028,16683
2024,단원구,원곡동,5367,3032,2335
2024,단원구,중앙동,24288,12053,12235
2024,단원구,초지동,45437,23218,22219
2024,단원구,호수동,42215,21234,20981
2024,상록구,반월동,16559,8360,8199
2024,상록구,본오1동,34738,18031,16707
2024,상록구,본오2동,24335,11955,12380
2024,상록구,본오3동,18120,9071,9049
2024,상록구,부곡동,20217,10386,9831
2024,상록구,사동,29292,15435,13857
2024,상록구,사이동,30362,15370,14992
2024,상록구,성포동,24626,12038,12588
2024,상록구,안산동,8370,4390,3980
2024,상록구,월피동,35574,18211,17363
2024,상록구,이동,22498,12240,10258
2024,상록구,일동,22752,11618,11134
2024,상록구,해양동,39748,19916,19832
2025,단원구,고잔동,19521,9722,9799
2025,단원구,대부동,9112,4725,4387
2025,단원구,백운동,23751,11886,11865
2025,단원구,선부1동,16610,8420,8190
2025,단원구,선부2동,17088,9073,8015
2025,단원구,선부3동,31654,16273,15381
2025,단원구,신길동,20412,10934,9478
2025,단원구,와동,35023,18681,16342
2025,단원구,원곡동,5330,3010,2320
2025,단원구,중앙동,23514,11695,11819
2025,단원구,초지동,45944,23498,22446
2025,단원구,호수동,41810,21062,20748
2025,상록구,반월동,17718,8927,8791
2025,상록구,본오1동,34092,17694,16398
2025,상록구,본오2동,23835,11754,12081
2025,상록구,본오3동,17813,8891,8922
2025,상록구,부곡동,19840,10222,9618
2025,상록구,사동,28799,15199,13600
2025,상록구,사이동,29696,15018,14678
2025,상록구,성포동,24191,11800,12391
2025,상록구,안산동,8094,4262,3832
2025,상록구,월피동,34928,17893,17035
2025,상록구,이동,22178,12082,10096
2025,상록구,일동,22283,11419,10864
2025,상록구,해양동,39272,19669,19603
